date,"Academic, Training and Research",Foundation,Government,International NGO,Multilateral,National NGO,Other Public Sector,Private Sector,Public Private Partnership,Regional NGO
2013-09-19 02:16:07 +0100,43,1102,211415,13377,34718,17,1133,,1749,14
2013-09-20 02:42:51 +0100,43,1102,211415,13378,34731,17,1133,,1749,14
2013-09-21 02:35:34 +0100,43,1102,211415,13381,34746,17,1133,,1749,14
2013-09-22 02:42:30 +0100,43,1102,211415,13381,34746,17,1133,,1749,14
2013-09-23 14:45:25 +0100,43,1102,211415,13381,34746,17,1133,,1749,14
2013-09-24 02:24:38 +0100,43,1102,211415,13385,34757,17,1133,,1749,14
2013-09-25 02:24:18 +0100,43,1102,211415,13392,34764,18,1133,,1749,14
2013-09-25 11:14:19 +0100,43,1102,214011,13392,40686,18,1133,,1749,14
2013-09-25 15:24:36 +0100,43,1102,214011,13392,40686,18,1133,,1749,14
2013-09-26 02:28:48 +0100,43,1105,214011,11732,40693,18,1133,,1749,14
2013-09-27 03:04:57 +0100,43,1105,214011,13402,40710,18,1133,,1749,14
2013-09-28 02:34:11 +0100,43,1105,214011,13432,40754,18,1133,,1749,14
2013-09-29 02:37:28 +0100,43,1105,214011,13436,40758,18,1133,,1749,14
2013-09-30 02:41:33 +0100,43,1105,214011,13438,40758,18,1133,,1749,14
2013-10-01 02:48:10 +0100,43,1108,214011,13482,40770,18,2476,,1749,14
2013-10-02 02:40:18 +0100,43,1108,214011,13550,40773,18,2476,,1749,14
2013-10-03 02:50:49 +0100,43,1108,212324,13549,40782,17,2376,,1749,14
2013-10-04 02:42:18 +0100,43,1108,212324,13533,40793,17,2376,,1749,14
2013-10-05 02:35:24 +0100,43,1108,212324,13638,40793,17,2376,,1749,14
2013-10-06 02:35:14 +0100,43,1108,212324,13639,40796,17,2376,,1749,14
2013-10-07 02:36:02 +0100,43,1108,212324,13639,40796,17,2376,,1749,14
2013-10-08 02:48:25 +0100,43,1108,212324,13659,42126,18,2376,,1749,14
2013-10-09 02:44:15 +0100,43,1108,214724,13663,42131,18,2376,,1749,14
