date,value
2022-02-16T01:38:32Z,1
2022-02-17T01:35:17Z,1
2022-02-17T22:14:11Z,1
2022-02-19T01:49:11Z,1
2022-02-20T01:50:37Z,1
2022-02-21T01:47:03Z,1
2022-02-22T01:48:23Z,1
2022-02-23T01:46:14Z,1
2022-02-24T01:44:19Z,1
2022-02-25T01:48:21Z,1
2022-02-26T01:47:30Z,1
2022-02-27T01:55:50Z,1
2022-02-27T22:20:36Z,1
2022-03-01T01:49:38Z,1
2022-03-02T01:51:49Z,1
2022-03-03T01:52:16Z,1
2022-03-04T01:19:05Z,1
2022-03-05T01:16:02Z,1
2022-03-06T01:13:37Z,2
2022-03-07T01:13:59Z,2
2022-03-08T01:08:00Z,2
2022-03-09T01:10:01Z,2
2022-03-10T01:16:23Z,2
2022-03-11T01:16:55Z,2
2022-03-12T01:10:08Z,2
2022-03-13T01:12:34Z,2
2022-03-14T01:13:04Z,2
2022-03-15T01:16:19Z,2
2022-03-16T01:15:40Z,2
2022-03-17T01:16:12Z,2
2022-03-17T21:34:43Z,2
2022-03-19T01:00:40Z,2
2022-03-20T01:04:54Z,2
2022-03-21T01:00:13Z,2
2022-03-23T01:05:31Z,2
2022-03-24T01:04:29Z,2
2022-03-25T01:05:05Z,2
2022-03-26T01:08:33Z,2
2022-03-27T01:05:42Z,2
2022-03-28T01:01:52Z,2
