Publisher Name,Publisher Registry Id,Publisher Type,Timeliness,Forward looking,Comprehensiveness,Score
7iber Media Consulting,7iberdotcom,Private Sector,25,66.66666666666667,80,57
Aapasi Sahayog Kendra Syangja Nepal (ASK Nepal),ask,National NGO,0,0.0,59,20
Aasaman Nepal,aasaman,National NGO,0,0.0,0,0
ABAAD - Resource Center for Gender Equality,arcfge,National NGO,12,0.0,61,24
Abaseen Foundation UK,abaseen,International NGO,0,0.0,0,0
Abdul Latif Jameel Poverty Action Lab at MIT,jpal,"Academic, Training and Research",62,66.66666666666667,72,67
Able Child Africa,ablechildafrica,International NGO,25,0.0,0,8
Abt Associates Inc,abt,Private Sector,25,0.0,70,32
Abt Britain Limited,abtbritain,Private Sector,0,91.66666666666667,72,55
Académie de recherche et d'enseignement supérieur,ares,"Academic, Training and Research",12,0.0,0,4
Accelerator Nepal,acceleratornepal,National NGO,0,0.0,68,23
Access to Medicine Foundation,atmf,Foundation,75,0.0,0,25
Access to Seeds Foundation,atsf,International NGO,0,0.0,51,17
Accountability Lab,alab,National NGO,38,0.0,69,36
Acid Survivors Foundation,_admin,National NGO,0,0.0,68,23
ACODEV,acodev,National NGO,0,0.0,0,0
Across,across,International NGO,0,0.0,0,0
ACT Alliance,act_alliance,International NGO,25,0.0,62,29
act4africa,act4africa,International NGO,0,0.0,0,0
ACTED,acted,International NGO,25,0.0,58,28
ACTION AGAINST HUNGER SPAIN,acfspain,International NGO,0,0.0,59,20
Action Against Hunger UK,acf,International NGO,62,17.0,66,48
Action Against Hunger USA,aahusa,International NGO,12,0.0,54,22
Action Canada for Sexual Health and Rights,acfshr,International NGO,62,100.0,81,81
Action Contre la Faim,acf-fr,International NGO,0,0.0,0,0
ActionAid Bangladesh,aab,International NGO,38,0.0,72,37
ActionAid Denmark (Mellemfolkeligt Samvirke),aadk,International NGO,75,0.0,61,45
ActionAid Ghana,aag,National NGO,12,0.0,0,4
ActionAid International,aai,International NGO,12,0.0,0,4
ACTIONAID INTERNATIONAL KENYA,aaik,International NGO,88,33.333333333333336,81,67
ActionAid Rwanda,aar,National NGO,38,0.0,80,39
ActionAid UK,aauk,International NGO,100,77.66666666666667,76,85
Acumen,acumen,International NGO,62,50.0,62,58
Adam Smith International,asi,Private Sector,38,50.0,76,55
Adaptation Fund,af,Multilateral,0,0.0,62,21
ADD International (Action on Disability and Development),addinternational,International NGO,88,33.333333333333336,62,61
Administração de Infra-Estruturas de Águas e Saneamento,aias,Government,62,100.0,74,79
ADRA Denmark,adra-dk,National NGO,62,16.666666666666668,55,45
ADRA-UK,adrauk,International NGO,0,0.0,72,24
ADS-Nyanza,ads-nyanza,Other Public Sector,0,0.0,0,0
Advance Consulting,ac1999,Private Sector,12,66.66666666666667,83,54
Adventist Development and Relief Agency (ADRA Somalia),adrasom,International NGO,0,0.0,0,0
"Adventist Development and Relief Agency, Nepal",adra_nepal,International NGO,0,0.0,0,0
AECOM,aecom,Private Sector,0,0.6666666666666666,62,21
Aeras,aeras,International NGO,0,0.0,66,22
AFEW International,afewinternational,International NGO,12,0.0,0,4
Afghanaid,afghanaid,International NGO,62,0.0,58,40
Afghanistan and Central Asian Association,acaa,International NGO,0,0.0,0,0
Afghanistan Public Policy Research Organization (APPRO),appro-af,"Academic, Training and Research",0,0.0,0,0
Africa Educational Trust,aet,International NGO,0,0.0,54,18
Africalia,africalia,Other Public Sector,12,0.0,0,4
African Academy of Sciences,aas,International NGO,0,0.0,54,18
African Center for Economic Transformation (ACET),acet,Regional NGO,62,0.0,66,43
African Centre for Global Health and Social Transformation,achest,International NGO,0,0.0,0,0
African Development Bank,afdb,Multilateral,100,63.333333333333336,97,87
African Initiatives,ai_1064413,International NGO,12,0.0,0,4
African Institute For Development Policy,afidep,International NGO,0,0.0,0,0
African Parks Network,african_parks,International NGO,0,0.0,64,21
African Population and Health Research Center,aphrc,International NGO,0,0.0,74,25
African Revival,africanrevival,International NGO,0,0.0,72,24
African Security Sector Network,assn,National NGO,38,0.0,78,39
African Tax Administration Forum,ataf,International NGO,0,0.0,68,23
African Women's Development and Communication Network,femnet,Regional NGO,25,100.0,74,66
African Women's Development Fund,awdf,Regional NGO,62,20.0,75,52
Afrikagrupperna Sweden,afrikagrupperna,International NGO,0,0.0,0,0
AfriKids,afrikids,International NGO,62,0.0,80,47
Aga Khan Foundation (United Kingdom),akfuk73,International NGO,88,0.0,58,49
Aga Khan Foundation Afghanistan,akf_afghanistan,Foundation,0,0.0,54,18
AgDevCo,agdevco,Private Sector,0,0.0,64,21
Agence Française de Développement,afd,Other Public Sector,100,84.33333333333333,90,91
Agence Nationale d'Approvisionnement en Eau Potable en Milieu Rural du Benin,anaepmr_benin,Government,12,0.0,66,26
Agency for Cooperation and Research in Development (ACORD),acord,International NGO,0,0.0,70,23
AgResults Initiative,agresults,Multilateral,0,20.0,62,27
Agulhas Applied Knowledge,aak,Private Sector,0,33.333333333333336,76,36
Agência de Desenvolvimento do Vale do Zambeze,agencia_do_zambeze,Government,75,0.0,75,50
AICS - Agenzia Italiana per la Cooperazione allo Sviluppo / Italian Agency for Cooperation and Development,aics,Government,88,0.0,65,51
AidData,aiddata,"Academic, Training and Research",0,0.0,64,21
Aidsfonds - Soa Aids Nederland,nl-kvk-41207989,International NGO,88,7.333333333333333,81,59
AIDSPAN,aidspan,International NGO,0,0.0,56,19
Ajuda de Desenvolvimento de Povo para Povo (ADPP),adpp,National NGO,0,0.0,57,19
Akina Mama wa Afrika,amwa,International NGO,0,0.0,54,18
Aktis Strategy Ltd,aktis,Private Sector,0,0.0,65,22
Akvo Foundation,akvo,International NGO,38,0.0,97,45
Al Majmoua,al_majmoua,National NGO,0,0.0,77,26
Alcis Holdings Limited,alcis,Private Sector,0,0.0,0,0
Alfalit,alfalit,National NGO,0,0.0,23,8
Alinea International Ltd.,alineainternational_2020,Private Sector,12,0.0,62,25
All We Can (formerly Methodist Relief and Development Fund),allwecan,International NGO,0,0.0,0,0
Allergy and Asthma Institute Pakistan,aaip,"Academic, Training and Research",0,0.0,57,19
Alliance for a Green Revolution for Africa,agra,International NGO,38,66.66666666666667,68,58
Alliance of Religions and Conservation,alliance_of_religions_and_conservation,International NGO,0,0.0,65,22
Altai Consulting,altai,Private Sector,0,0.0,59,20
American Friends Service Committee,afsc,"Academic, Training and Research",0,0.0,0,0
Amnesty International The Netherlands,amnesty,International NGO,12,0.0,80,31
Amnesty International UK Section Charitable Trust,aiuk,International NGO,0,0.0,62,21
Amref Flying Doctors,amrefnl,National NGO,75,38.333333333333336,80,64
Amref Health Africa - UK,amrefha,International NGO,0,0.0,73,24
Amref Health Africa Headquarters,amrefhq,International NGO,0,0.0,0,0
Amref Health Africa in Ethiopia,amrefeth,International NGO,0,0.0,73,24
Amref Health Africa in Kenya,amrefkenya,International NGO,12,0.0,86,33
Amref Health Africa in Tanzania,amreftz,International NGO,0,0.0,70,23
Amref Health Africa in Uganda,amrefug,National NGO,38,0.0,86,41
Amref Health Africa Malawi,amrefmw,National NGO,0,0.0,89,30
Ananda Marga Universal Relief Team (AMURT) Africa,amurt_kenya,National NGO,38,0.0,68,35
ANDA,anda,National NGO,0,0.0,23,8
Anti-Slavery International,asil,International NGO,25,0.0,60,28
APPRO-Europe,appro-eu,"Academic, Training and Research",0,0.0,0,0
APT Action on Poverty,apt,International NGO,62,66.66666666666667,80,70
Aqua for All,aqua4all,Foundation,50,0.0,80,43
